ResId,Res_rating,streetAddress,district,region,Res_pos_score,Res_price_score,Res_food_score,Res_atmosphere_score,Res_services_score
661841,7.1,30 Nguyễn Văn Huyên,Quận Cầu Giấy,Hà Nội,7.5,7.3,7.2,6.9,6.9
661841,7.1,30 Nguyễn Văn Huyên,Quận Cầu Giấy,Hà Nội,7.5,7.3,7.2,6.9,6.9
661841,7.1,30 Nguyễn Văn Huyên,Quận Cầu Giấy,Hà Nội,7.5,7.3,7.2,6.9,6.9
91187,6.3,"21 Ngõ 120 Trần Duy Hưng, P. Trung Hòa",Quận Cầu Giấy,Hà Nội,6.9,6.6,6.4,6.0,5.7
91187,6.3,"21 Ngõ 120 Trần Duy Hưng, P. Trung Hòa",Quận Cầu Giấy,Hà Nội,6.9,6.6,6.4,6.0,5.7
976990,7.3,Nhà T2 Ngõ 210 Hoàng Quốc Việt,Quận Cầu Giấy,Hà Nội,7.8,7.5,7.3,7.1,6.7
91187,6.3,"21 Ngõ 120 Trần Duy Hưng, P. Trung Hòa",Quận Cầu Giấy,Hà Nội,6.9,6.6,6.4,6.0,5.7
976990,7.3,Nhà T2 Ngõ 210 Hoàng Quốc Việt,Quận Cầu Giấy,Hà Nội,7.8,7.5,7.3,7.1,6.7
243101,6.3,28 Ngõ 66 Hồ Tùng Mậu,Quận Cầu Giấy,Hà Nội,6.7,6.7,6.5,6.0,5.7
243101,6.3,28 Ngõ 66 Hồ Tùng Mậu,Quận Cầu Giấy,Hà Nội,6.7,6.7,6.5,6.0,5.7
292147,8.2,"68 Võ Chí Công, P. Nghĩa Đô",Quận Cầu Giấy,Hà Nội,10.0,9.0,8.0,7.0,7.0
14820,6.0,132 Mai Dịch,Quận Cầu Giấy,Hà Nội,8.0,6.7,5.3,5.0,5.0
936047,9.7,185 Tô Hiệu,Quận Cầu Giấy,Hà Nội,10.0,10.0,9.8,9.7,9.0
242093,8.8,"201A Ngõ 26 Doãn Kế Thiện, Mai Dịch",Quận Cầu Giấy,Hà Nội,10.0,10.0,10.0,7.0,7.0
1022829,5.0,25 Ngách 55 Ngõ 381 Nguyễn Khang,Quận Cầu Giấy,Hà Nội,5.0,5.0,5.0,5.0,5.0
243101,6.3,28 Ngõ 66 Hồ Tùng Mậu,Quận Cầu Giấy,Hà Nội,6.7,6.7,6.5,6.0,5.7
89753,6.9,9 Nguyễn Khả Trạc,Quận Cầu Giấy,Hà Nội,7.5,7.5,7.0,6.5,6.0
936047,9.7,185 Tô Hiệu,Quận Cầu Giấy,Hà Nội,10.0,10.0,9.8,9.7,9.0
23659,8.0,"7 Nguyễn Khang, P. Trung Hòa",Quận Cầu Giấy,Hà Nội,9.0,8.0,8.0,8.0,7.0
936047,9.7,185 Tô Hiệu,Quận Cầu Giấy,Hà Nội,10.0,10.0,9.8,9.7,9.0
936047,9.7,185 Tô Hiệu,Quận Cầu Giấy,Hà Nội,10.0,10.0,9.8,9.7,9.0
14820,6.0,132 Mai Dịch,Quận Cầu Giấy,Hà Nội,8.0,6.7,5.3,5.0,5.0
89753,6.9,9 Nguyễn Khả Trạc,Quận Cầu Giấy,Hà Nội,7.5,7.5,7.0,6.5,6.0
241601,10.0,106 Nguyễn Khang,Quận Cầu Giấy,Hà Nội,10.0,10.0,10.0,10.0,10.0
936047,9.7,185 Tô Hiệu,Quận Cầu Giấy,Hà Nội,10.0,10.0,9.8,9.7,9.0
936047,9.7,185 Tô Hiệu,Quận Cầu Giấy,Hà Nội,10.0,10.0,9.8,9.7,9.0
936047,9.7,185 Tô Hiệu,Quận Cầu Giấy,Hà Nội,10.0,10.0,9.8,9.7,9.0
936047,9.7,185 Tô Hiệu,Quận Cầu Giấy,Hà Nội,10.0,10.0,9.8,9.7,9.0
243101,6.3,28 Ngõ 66 Hồ Tùng Mậu,Quận Cầu Giấy,Hà Nội,6.7,6.7,6.5,6.0,5.7
762050,7.5,"Sảnh V1, 177 Trung Kính",Quận Cầu Giấy,Hà Nội,8.6,8.3,7.9,7.4,5.6
936047,9.7,185 Tô Hiệu,Quận Cầu Giấy,Hà Nội,10.0,10.0,9.8,9.7,9.0
762050,7.5,"Sảnh V1, 177 Trung Kính",Quận Cầu Giấy,Hà Nội,8.6,8.3,7.9,7.4,5.6
628639,6.8,Ngõ 130 Xuân Thuỷ,Quận Cầu Giấy,Hà Nội,8.2,7.5,6.5,6.3,5.3
929670,8.2,750 Đường Láng,Quận Cầu Giấy,Hà Nội,8.4,8.3,8.2,8.1,8.0
131894,7.3,"Big C Thăng Long, 222 Trần Duy Hưng",Quận Cầu Giấy,Hà Nội,7.7,7.6,7.4,7.1,6.5
735257,6.2,10 Ngách 15 Ngõ 329 Cầu Giấy,Quận Cầu Giấy,Hà Nội,6.5,6.4,6.4,6.3,5.3
284772,7.0,A5 Nghĩa Tân,Quận Cầu Giấy,Hà Nội,7.0,7.0,7.0,7.0,7.0
131894,7.3,"Big C Thăng Long, 222 Trần Duy Hưng",Quận Cầu Giấy,Hà Nội,7.7,7.6,7.4,7.1,6.5
131894,7.3,"Big C Thăng Long, 222 Trần Duy Hưng",Quận Cầu Giấy,Hà Nội,7.7,7.6,7.4,7.1,6.5
255586,4.4,107 C9 Tô Hiệu,Quận Cầu Giấy,Hà Nội,5.8,5.0,4.0,3.8,3.3
131894,7.3,"Big C Thăng Long, 222 Trần Duy Hưng",Quận Cầu Giấy,Hà Nội,7.7,7.6,7.4,7.1,6.5
998064,9.0,149 Dương Quảng Hàm,Quận Cầu Giấy,Hà Nội,9.5,9.5,8.9,8.8,8.5
980430,5.8,"140 Hoa Bằng, P. Yên Hòa",Quận Cầu Giấy,Hà Nội,8.5,6.0,6.0,5.0,3.5
998064,9.0,149 Dương Quảng Hàm,Quận Cầu Giấy,Hà Nội,9.5,9.5,8.9,8.8,8.5
998064,9.0,149 Dương Quảng Hàm,Quận Cầu Giấy,Hà Nội,9.5,9.5,8.9,8.8,8.5
998064,9.0,149 Dương Quảng Hàm,Quận Cầu Giấy,Hà Nội,9.5,9.5,8.9,8.8,8.5
998064,9.0,149 Dương Quảng Hàm,Quận Cầu Giấy,Hà Nội,9.5,9.5,8.9,8.8,8.5
998064,9.0,149 Dương Quảng Hàm,Quận Cầu Giấy,Hà Nội,9.5,9.5,8.9,8.8,8.5
998064,9.0,149 Dương Quảng Hàm,Quận Cầu Giấy,Hà Nội,9.5,9.5,8.9,8.8,8.5
131894,7.3,"Big C Thăng Long, 222 Trần Duy Hưng",Quận Cầu Giấy,Hà Nội,7.7,7.6,7.4,7.1,6.5
998064,9.0,149 Dương Quảng Hàm,Quận Cầu Giấy,Hà Nội,9.5,9.5,8.9,8.8,8.5
735257,6.2,10 Ngách 15 Ngõ 329 Cầu Giấy,Quận Cầu Giấy,Hà Nội,6.5,6.4,6.4,6.3,5.3
998064,9.0,149 Dương Quảng Hàm,Quận Cầu Giấy,Hà Nội,9.5,9.5,8.9,8.8,8.5
131894,7.3,"Big C Thăng Long, 222 Trần Duy Hưng",Quận Cầu Giấy,Hà Nội,7.7,7.6,7.4,7.1,6.5
735257,6.2,10 Ngách 15 Ngõ 329 Cầu Giấy,Quận Cầu Giấy,Hà Nội,6.5,6.4,6.4,6.3,5.3
735257,6.2,10 Ngách 15 Ngõ 329 Cầu Giấy,Quận Cầu Giấy,Hà Nội,6.5,6.4,6.4,6.3,5.3
735257,6.2,10 Ngách 15 Ngõ 329 Cầu Giấy,Quận Cầu Giấy,Hà Nội,6.5,6.4,6.4,6.3,5.3
628639,6.8,Ngõ 130 Xuân Thuỷ,Quận Cầu Giấy,Hà Nội,8.2,7.5,6.5,6.3,5.3
628639,6.8,Ngõ 130 Xuân Thuỷ,Quận Cầu Giấy,Hà Nội,8.2,7.5,6.5,6.3,5.3
628639,6.8,Ngõ 130 Xuân Thuỷ,Quận Cầu Giấy,Hà Nội,8.2,7.5,6.5,6.3,5.3
628639,6.8,Ngõ 130 Xuân Thuỷ,Quận Cầu Giấy,Hà Nội,8.2,7.5,6.5,6.3,5.3
255586,4.4,107 C9 Tô Hiệu,Quận Cầu Giấy,Hà Nội,5.8,5.0,4.0,3.8,3.3
739777,6.6,"39 Ngõ 75 Hồ Tùng Mậu, P. Mai Dịch",Quận Cầu Giấy,Hà Nội,7.2,7.0,6.4,6.4,5.8
739777,6.6,"39 Ngõ 75 Hồ Tùng Mậu, P. Mai Dịch",Quận Cầu Giấy,Hà Nội,7.2,7.0,6.4,6.4,5.8
739777,6.6,"39 Ngõ 75 Hồ Tùng Mậu, P. Mai Dịch",Quận Cầu Giấy,Hà Nội,7.2,7.0,6.4,6.4,5.8
632486,7.0,"Bảo Tàng Dân Tộc Học, 168 Nguyễn Khánh Toàn",Quận Cầu Giấy,Hà Nội,8.3,7.8,6.5,6.4,6.1
632486,7.0,"Bảo Tàng Dân Tộc Học, 168 Nguyễn Khánh Toàn",Quận Cầu Giấy,Hà Nội,8.3,7.8,6.5,6.4,6.1
1054019,8.3,"96 Trần Quốc Vượng, P. Dịch Vọng Hậu",Quận Cầu Giấy,Hà Nội,8.6,8.5,8.5,8.0,7.9
1054019,8.3,"96 Trần Quốc Vượng, P. Dịch Vọng Hậu",Quận Cầu Giấy,Hà Nội,8.6,8.5,8.5,8.0,7.9
900866,8.6,14A Ngách 5 Ngõ 54 Hoa Bằng,Quận Cầu Giấy,Hà Nội,9.0,9.0,8.5,8.5,8.1
3176,7.4,196 Trần Duy Hưng,Quận Cầu Giấy,Hà Nội,7.7,7.6,7.4,7.2,7.1
3176,7.4,196 Trần Duy Hưng,Quận Cầu Giấy,Hà Nội,7.7,7.6,7.4,7.2,7.1
927495,10.0,28 Dịch Vọng Hậu,Quận Cầu Giấy,Hà Nội,10.0,10.0,10.0,10.0,10.0
168812,7.2,53 Ngõ 1 Phạm Văn Đồng,Quận Cầu Giấy,Hà Nội,8.0,7.3,7.3,6.8,6.5
632486,7.0,"Bảo Tàng Dân Tộc Học, 168 Nguyễn Khánh Toàn",Quận Cầu Giấy,Hà Nội,8.3,7.8,6.5,6.4,6.1
168812,7.2,53 Ngõ 1 Phạm Văn Đồng,Quận Cầu Giấy,Hà Nội,8.0,7.3,7.3,6.8,6.5
168812,7.2,53 Ngõ 1 Phạm Văn Đồng,Quận Cầu Giấy,Hà Nội,8.0,7.3,7.3,6.8,6.5
3176,7.4,196 Trần Duy Hưng,Quận Cầu Giấy,Hà Nội,7.7,7.6,7.4,7.2,7.1
3176,7.4,196 Trần Duy Hưng,Quận Cầu Giấy,Hà Nội,7.7,7.6,7.4,7.2,7.1
3176,7.4,196 Trần Duy Hưng,Quận Cầu Giấy,Hà Nội,7.7,7.6,7.4,7.2,7.1
131894,7.3,"Big C Thăng Long, 222 Trần Duy Hưng",Quận Cầu Giấy,Hà Nội,7.7,7.6,7.4,7.1,6.5
3176,7.4,196 Trần Duy Hưng,Quận Cầu Giấy,Hà Nội,7.7,7.6,7.4,7.2,7.1
900866,8.6,14A Ngách 5 Ngõ 54 Hoa Bằng,Quận Cầu Giấy,Hà Nội,9.0,9.0,8.5,8.5,8.1
3176,7.4,196 Trần Duy Hưng,Quận Cầu Giấy,Hà Nội,7.7,7.6,7.4,7.2,7.1
900866,8.6,14A Ngách 5 Ngõ 54 Hoa Bằng,Quận Cầu Giấy,Hà Nội,9.0,9.0,8.5,8.5,8.1
900866,8.6,14A Ngách 5 Ngõ 54 Hoa Bằng,Quận Cầu Giấy,Hà Nội,9.0,9.0,8.5,8.5,8.1
900866,8.6,14A Ngách 5 Ngõ 54 Hoa Bằng,Quận Cầu Giấy,Hà Nội,9.0,9.0,8.5,8.5,8.1
665788,7.5,34 Phan Văn Trường,Quận Cầu Giấy,Hà Nội,7.9,7.8,7.4,7.4,7.2
665788,7.5,34 Phan Văn Trường,Quận Cầu Giấy,Hà Nội,7.9,7.8,7.4,7.4,7.2
665788,7.5,34 Phan Văn Trường,Quận Cầu Giấy,Hà Nội,7.9,7.8,7.4,7.4,7.2
665788,7.5,34 Phan Văn Trường,Quận Cầu Giấy,Hà Nội,7.9,7.8,7.4,7.4,7.2
665788,7.5,34 Phan Văn Trường,Quận Cầu Giấy,Hà Nội,7.9,7.8,7.4,7.4,7.2
665788,7.5,34 Phan Văn Trường,Quận Cầu Giấy,Hà Nội,7.9,7.8,7.4,7.4,7.2
665788,7.5,34 Phan Văn Trường,Quận Cầu Giấy,Hà Nội,7.9,7.8,7.4,7.4,7.2
665788,7.5,34 Phan Văn Trường,Quận Cầu Giấy,Hà Nội,7.9,7.8,7.4,7.4,7.2
632486,7.0,"Bảo Tàng Dân Tộc Học, 168 Nguyễn Khánh Toàn",Quận Cầu Giấy,Hà Nội,8.3,7.8,6.5,6.4,6.1
1025419,7.1,"66 Trần Cung, P. Nghĩa Tân",Quận Cầu Giấy,Hà Nội,7.6,7.6,7.2,6.6,6.6
690465,7.3,5 Ngõ 40 Trần Duy Hưng (Ngõ 15 Trung Kính),Quận Cầu Giấy,Hà Nội,7.5,7.4,7.3,7.1,7.1
1036007,9.0,"78 Hoàng Ngân, P. Trung Hòa",Quận Cầu Giấy,Hà Nội,9.6,9.4,9.0,8.7,8.4
1036007,9.0,"78 Hoàng Ngân, P. Trung Hòa",Quận Cầu Giấy,Hà Nội,9.6,9.4,9.0,8.7,8.4
690465,7.3,5 Ngõ 40 Trần Duy Hưng (Ngõ 15 Trung Kính),Quận Cầu Giấy,Hà Nội,7.5,7.4,7.3,7.1,7.1
1036007,9.0,"78 Hoàng Ngân, P. Trung Hòa",Quận Cầu Giấy,Hà Nội,9.6,9.4,9.0,8.7,8.4
900866,8.6,14A Ngách 5 Ngõ 54 Hoa Bằng,Quận Cầu Giấy,Hà Nội,9.0,9.0,8.5,8.5,8.1
667328,6.8,199 Quan Hoa,Quận Cầu Giấy,Hà Nội,7.2,6.9,6.8,6.6,6.4
1036007,9.0,"78 Hoàng Ngân, P. Trung Hòa",Quận Cầu Giấy,Hà Nội,9.6,9.4,9.0,8.7,8.4
667328,6.8,199 Quan Hoa,Quận Cầu Giấy,Hà Nội,7.2,6.9,6.8,6.6,6.4
667328,6.8,199 Quan Hoa,Quận Cầu Giấy,Hà Nội,7.2,6.9,6.8,6.6,6.4
667328,6.8,199 Quan Hoa,Quận Cầu Giấy,Hà Nội,7.2,6.9,6.8,6.6,6.4
723131,8.0,1E Trần Quốc Hoàn,Quận Cầu Giấy,Hà Nội,8.3,8.2,8.2,8.0,7.4
252496,5.9,"Tầng 1 Chung Cư Viện Chiến Lược & Khoa Học Bộ Công An, Nguyễn Chánh",Quận Cầu Giấy,Hà Nội,6.5,6.4,6.2,5.5,4.9
667328,6.8,199 Quan Hoa,Quận Cầu Giấy,Hà Nội,7.2,6.9,6.8,6.6,6.4
274829,7.0,36 Xuân Thủy,Quận Cầu Giấy,Hà Nội,7.0,7.0,7.0,7.0,7.0
252496,5.9,"Tầng 1 Chung Cư Viện Chiến Lược & Khoa Học Bộ Công An, Nguyễn Chánh",Quận Cầu Giấy,Hà Nội,6.5,6.4,6.2,5.5,4.9
723131,8.0,1E Trần Quốc Hoàn,Quận Cầu Giấy,Hà Nội,8.3,8.2,8.2,8.0,7.4
252496,5.9,"Tầng 1 Chung Cư Viện Chiến Lược & Khoa Học Bộ Công An, Nguyễn Chánh",Quận Cầu Giấy,Hà Nội,6.5,6.4,6.2,5.5,4.9
252496,5.9,"Tầng 1 Chung Cư Viện Chiến Lược & Khoa Học Bộ Công An, Nguyễn Chánh",Quận Cầu Giấy,Hà Nội,6.5,6.4,6.2,5.5,4.9
252496,5.9,"Tầng 1 Chung Cư Viện Chiến Lược & Khoa Học Bộ Công An, Nguyễn Chánh",Quận Cầu Giấy,Hà Nội,6.5,6.4,6.2,5.5,4.9
723131,8.0,1E Trần Quốc Hoàn,Quận Cầu Giấy,Hà Nội,8.3,8.2,8.2,8.0,7.4
252496,5.9,"Tầng 1 Chung Cư Viện Chiến Lược & Khoa Học Bộ Công An, Nguyễn Chánh",Quận Cầu Giấy,Hà Nội,6.5,6.4,6.2,5.5,4.9
723131,8.0,1E Trần Quốc Hoàn,Quận Cầu Giấy,Hà Nội,8.3,8.2,8.2,8.0,7.4
667328,6.8,199 Quan Hoa,Quận Cầu Giấy,Hà Nội,7.2,6.9,6.8,6.6,6.4
723131,8.0,1E Trần Quốc Hoàn,Quận Cầu Giấy,Hà Nội,8.3,8.2,8.2,8.0,7.4
667328,6.8,199 Quan Hoa,Quận Cầu Giấy,Hà Nội,7.2,6.9,6.8,6.6,6.4
667328,6.8,199 Quan Hoa,Quận Cầu Giấy,Hà Nội,7.2,6.9,6.8,6.6,6.4
1036007,9.0,"78 Hoàng Ngân, P. Trung Hòa",Quận Cầu Giấy,Hà Nội,9.6,9.4,9.0,8.7,8.4
723131,8.0,1E Trần Quốc Hoàn,Quận Cầu Giấy,Hà Nội,8.3,8.2,8.2,8.0,7.4
1036007,9.0,"78 Hoàng Ngân, P. Trung Hòa",Quận Cầu Giấy,Hà Nội,9.6,9.4,9.0,8.7,8.4
1036007,9.0,"78 Hoàng Ngân, P. Trung Hòa",Quận Cầu Giấy,Hà Nội,9.6,9.4,9.0,8.7,8.4
690465,7.3,5 Ngõ 40 Trần Duy Hưng (Ngõ 15 Trung Kính),Quận Cầu Giấy,Hà Nội,7.5,7.4,7.3,7.1,7.1
690465,7.3,5 Ngõ 40 Trần Duy Hưng (Ngõ 15 Trung Kính),Quận Cầu Giấy,Hà Nội,7.5,7.4,7.3,7.1,7.1
93755,7.7,18 Hồ Tùng Mậu,Quận Cầu Giấy,Hà Nội,8.0,7.9,7.8,7.8,7.0
913676,8.6,10B Ngõ 233 (Ngõ 6 Cũ) Phạm Văn Đồng,Quận Cầu Giấy,Hà Nội,8.7,8.6,8.6,8.6,8.5
166181,6.8,"KTT Nhà Hát Trèo Hà Nội, Hồ Tùng Mậu",Quận Cầu Giấy,Hà Nội,10.0,6.0,6.0,6.0,6.0
913676,8.6,10B Ngõ 233 (Ngõ 6 Cũ) Phạm Văn Đồng,Quận Cầu Giấy,Hà Nội,8.7,8.6,8.6,8.6,8.5
731627,4.7,"Toà CT3, Chung Cư Vimeco 2, Đối Diện 90 Nguyễn Chánh",Quận Cầu Giấy,Hà Nội,5.7,4.7,4.7,4.3,4.0
91334,8.0,121 Nguyễn Phong Sắc,Quận Cầu Giấy,Hà Nội,8.4,8.4,8.3,7.6,7.1
246005,6.2,16 Dịch Vọng,Quận Cầu Giấy,Hà Nội,6.6,6.4,6.1,6.1,6.0
41351,7.5,11A Phố Dịch Vọng,Quận Cầu Giấy,Hà Nội,7.8,7.6,7.6,7.5,7.3
1058130,10.0,"33 Mạc Thái Tổ, P. Yên Hòa",Quận Cầu Giấy,Hà Nội,10.0,10.0,10.0,10.0,10.0
91334,8.0,121 Nguyễn Phong Sắc,Quận Cầu Giấy,Hà Nội,8.4,8.4,8.3,7.6,7.1
913676,8.6,10B Ngõ 233 (Ngõ 6 Cũ) Phạm Văn Đồng,Quận Cầu Giấy,Hà Nội,8.7,8.6,8.6,8.6,8.5
